"player.id","player.name","team.name","matches_played","total_minutes","avg_minutes","times_subbed_on","times_subbed_off","primary_position","minutes_in_primary","progressive_passes","progressive_carries","shot_assists","goal_assists","xA","key_passes","shots","shots_on_target","goals","xG","tackles","tackles_won","interceptions","pressures","ball_recoveries","passes","passes_completed","pass_completion_pct","touches_att_third","touches_in_box","dribbles","dribbles_successful","dribbles_failed","dribble_success_pct","progressive_passes_p90","progressive_carries_p90","shot_assists_p90","key_passes_p90","xA_p90","shots_p90","xG_p90","tackles_p90","interceptions_p90","pressures_p90","ball_recoveries_p90","touches_att_third_p90","touches_in_box_p90","dribbles_p90","dribbles_successful_p90"
5575,"Héctor Miguel Herrera López","Toluca",17,729.276083333333,42.8985931372549,10,6,"Left Defensive Midfield",389.155133333333,142,15,8,1,0.14264563,6,5,0,0,0.2798754355,19,7,9,135,49,505,445,88.1188118811881,270,16,9,6,3,66.6666666666667,17.5242275073466,1.85115079302957,0.987280422949105,0.740460317211829,0.0176039047397802,0.61705026434319,0.0345394422916881,2.34479100450412,1.11069047581774,16.6603571372661,6.04709259056327,33.3207142745323,1.97456084589821,1.11069047581774,0.740460317211829
5576,"Jesús Daniel Gallardo Vasconcelos","Toluca",39,3623.46963333333,92.9094777777778,2,7,"Left Back",2614.67418333333,523,155,39,5,3.2138030935,35,36,17,7,3.3199070306,68,12,31,439,129,1898,1523,80.2423603793467,1787,186,41,18,23,43.9024390243902,12.9903117075936,3.84990117529066,0.968684811847326,0.869332523452729,0.0798246729472155,0.894170595551378,0.0824600901868558,1.68898890270816,0.769980235058131,10.9039136513071,3.20411130072577,44.3856348402865,4.61988141034879,1.01836095604462,0.447085297775689
10570,"Antonio Briseño Vázquez","Toluca",6,333.516083333333,55.5860138888889,3,0,"Right Center Back",304.640366666667,110,9,0,0,0,0,2,1,1,0.3104793132,2,0,2,22,11,246,222,90.2439024390244,13,10,1,1,0,100,29.6837258972768,2.42866848250447,0,0,0,0.539704107223215,0.0837834802709415,0.539704107223215,0.539704107223215,5.93674517945536,2.96837258972768,3.5080766969509,2.69852053611607,0.269852053611607,0.269852053611607
18784,"João Paulo Dias Fernandes","Toluca",39,3563.26676666667,91.3658145299145,2,13,"Center Forward",2482.618,152,61,29,6,3.2149858633,27,115,58,27,21.3280467301,29,5,4,503,90,798,596,74.68671679198,1959,618,42,16,26,38.0952380952381,3.83917368409586,1.54072101795952,0.73247392657092,0.681958483359132,0.0812032179021155,2.90463798467779,0.538697866706359,0.73247392657092,0.101030886423575,12.7046339677646,2.27319494453044,49.4798766259459,15.6092719524424,1.06082430744754,0.404123545694301
24727,"Frankie Amaya","Toluca",15,460.624016666667,30.7082677777778,13,2,"Left Defensive Midfield",174.3425,79,17,6,2,0.4946294221,6,7,2,0,0.2055424004,14,4,10,94,21,209,185,88.5167464114833,208,11,2,0,2,0,15.4355824766844,3.32158103928652,1.17232271974818,1.17232271974818,0.0966442182306242,1.36770983970622,0.0401603376434164,2.73541967941243,1.95387119958031,18.3663892760549,4.10312951911865,40.6405209512704,2.14925831953834,0.390774239916062,0
25135,"Luan Garcia Teixeira","Toluca",36,3209.95203333333,89.1653342592593,5,1,"Right Center Back",1243.43365,664,104,5,0,0.2608379209,5,15,11,4,2.868616836,43,9,34,194,86,1652,1477,89.4067796610169,120,61,14,11,3,78.5714285714286,18.6171006231339,2.91593142290049,0.14018901071637,0.14018901071637,0.00731332201765715,0.42056703214911,0.0804297112726326,1.20562549216078,0.953285272871315,5.43933361579515,2.41125098432156,3.36453625719288,1.71030593073971,0.392529230005836,0.308415823576014
25342,"Helio Junio Nunes de Castro","Toluca",24,965.764,40.2401666666667,16,7,"Right Wing",570.89125,88,62,14,0,1.5262201074,13,31,14,3,1.4895178015,11,6,5,159,56,399,290,72.6817042606516,808,96,61,33,28,54.0983606557377,8.20076126258589,5.77780907136733,1.3046665645023,1.21147609560928,0.142229167442564,2.88890453568367,0.138808862346287,1.02509515782324,0.465952344465107,14.8172845539904,5.2186662580092,75.2978988655613,8.94628501373006,5.68461860247431,3.07528547346971
25502,"Bruno Méndez Cittadini","Toluca",27,2199.50708333333,81.463225308642,6,4,"Right Center Back",2105.69078333333,464,67,2,0,0.1343274526,2,6,2,0,0.4394530617,34,6,21,210,41,1138,978,85.9402460456942,99,21,3,1,2,33.3333333333333,18.9860720687987,2.74152333752051,0.0818365175379256,0.0818365175379256,0.00549644546526239,0.245509552613777,0.0179816540954536,1.39122079814474,0.859283434148219,8.59283434148219,1.67764860952748,4.05090761812732,0.859283434148219,0.122754776306888,0.0409182587689628
26301,"Ernesto Alexis Vega Rojas","Toluca",42,3488.16965,83.0516583333333,3,28,"Left Wing",1421.19313333333,492,225,73,13,7.2131585496,67,107,34,16,11.5028279207,56,17,30,593,171,1649,1280,77.6228016979988,2839,245,116,61,55,52.5862068965517,12.6943366989045,5.80533690498683,1.88350930695128,1.7287003228183,0.186110291242285,2.76076021703818,0.296790184176679,1.44488385190783,0.774044920664911,15.3002879318097,4.41205604778999,73.250450992256,6.32136685209677,2.99297369323765,1.57389133868532
26329,"Marcel Alejandro Ruiz Suárez","Toluca",41,3820.66173333333,93.1868715447154,1,12,"Left Defensive Midfield",2035.93473333333,697,148,28,9,1.8194121894,23,49,21,3,4.6869288958,127,25,36,893,169,2046,1750,85.5327468230694,1534,216,32,20,12,62.5,16.4186217933696,3.48630706659785,0.659571607194188,0.541790963052369,0.042858307925402,1.15425031258983,0.110405900878846,2.99162836120221,0.8480206378211,21.0356230437289,3.98098577199349,36.1351016227102,5.0881238269266,0.753796122507644,0.471122576567277
28419,"Diego Armando Barbosa Zaragoza","Toluca",20,1651.92531666667,82.5962658333333,5,3,"Right Back",1182.24423333333,284,47,9,1,0.6035317806,8,8,0,0,0.3491079369,80,28,20,361,77,792,616,77.7777777777778,560,42,30,16,14,53.3333333333333,15.4728544578372,2.56064844900827,0.490336937044137,0.435855055150344,0.0328815471897998,0.435855055150344,0.0190200573863716,4.35855055150344,1.08963763787586,19.6679593636593,4.19510490582206,30.5098538605241,2.28823903953931,1.63445645681379,0.871710110300689
29408,"Jesús Ricardo Angulo Uriarte","Toluca",40,2574.21976666667,64.3554941666667,9,28,"Center Attacking Midfield",1296.18045,317,93,57,9,3.6980171456,55,50,23,9,5.2432782501,34,13,5,528,127,1206,1015,84.1625207296849,1827,229,42,19,23,45.2380952380952,11.08296982621,3.2514706430206,1.9928368457223,1.9229127458724,0.129290260067798,1.74810249624763,0.183315755950415,1.18870969744839,0.174810249624763,18.459962360375,4.44018034046899,63.8756652128885,8.00630943281416,1.46840609684801,0.6642789485741
29521,"Claudio Andrés Baeza Baeza","Toluca",18,1314.78256666667,73.0434759259259,4,7,"Right Defensive Midfield",721.326483333333,274,62,9,1,0.4261475345,9,5,1,0,0.1909844819,25,6,12,248,71,809,730,90.2348578491965,245,15,7,3,4,42.8571428571429,18.7559529805144,4.24404775471493,0.61607144826507,0.61607144826507,0.0291708143060005,0.342261915702817,0.0130733429289208,1.71130957851408,0.821428597686761,16.9761910188597,4.86011920298,16.770833869438,1.02678574710845,0.479166681983944,0.20535714942169
37360,"Andrés Federico Pereira Castelnoble","Toluca",32,3058.56693333333,95.5802166666667,1,2,"Left Center Back",2246.61956666667,789,158,8,0,0.4300310687,8,16,4,1,1.0499042966,81,15,31,402,124,1865,1664,89.2225201072386,239,47,16,12,4,75,23.216755280425,4.64923616515482,0.235404362792649,0.235404362792649,0.0126538987135457,0.470808725585298,0.0308940064917984,2.38346917327557,0.912191905821515,11.8290692303306,3.64876762328606,7.03270533843039,1.38300063140681,0.470808725585298,0.353106544188974
43478,"Edgar Iván López Rodríguez","Toluca",23,795.334166666667,34.5797463768116,17,6,"Right Center Forward",245.4044,33,26,4,1,0.2826366425,4,14,7,1,2.5300042963,4,0,8,137,17,206,153,74.2718446601942,516,132,11,7,4,63.6363636363636,3.73427940666449,2.94215953252354,0.452639928080545,0.452639928080545,0.0319831573835317,1.58423974828191,0.286295240680175,0.452639928080545,0.905279856161089,15.5029175367587,1.92371969434231,58.3905507223903,14.937117626658,1.2447598022215,0.792119874140953
50763,"Isaías Violante Romero","Toluca",31,1598.90963333333,51.5777301075269,16,10,"Right Wing",501.7313,87,70,13,3,1.0592343185,13,37,13,6,3.796871324,16,3,6,218,54,480,369,76.875,847,131,26,15,11,57.6923076923077,4.89708726294705,3.94018515409532,0.731748671474846,0.731748671474846,0.0596225619494569,2.0826692957361,0.213719657469072,0.900613749507503,0.337730156065314,12.2708623370397,3.03957140458782,47.6762403645534,7.37377507409268,1.46349734294969,0.844325390163284
52104,"Franco Agustín Romero","Toluca",19,1377.78096666667,72.5147877192982,5,8,"Right Defensive Midfield",647.096416666667,165,27,6,0,0.1261103222,6,5,1,0,0.1041463302,34,8,13,315,80,714,641,89.7759103641457,255,1,12,6,6,50,10.7782008601319,1.76370559529431,0.391934576732068,0.391934576732068,0.00823783262550029,0.326612147276724,0.00680309130752254,2.22096260148172,0.849191582919481,20.5765652784336,5.22579435642758,16.6572195111129,0.0653224294553447,0.783869153464137,0.391934576732068
87434,"Robert Osmar Morales Benítez","Toluca",21,901.308733333333,42.9194634920635,13,7,"Right Center Forward",393.7274,32,32,16,1,1.5428464701,14,28,14,3,3.097262971,19,3,0,282,33,172,135,78.4883720930232,652,152,15,7,8,46.6666666666667,3.19535348265052,3.19535348265052,1.59767674132526,1.3979671486596,0.154060620044659,2.79593429731921,0.309276563158418,1.89724113032375,0,28.1590525658577,3.29520827898335,65.1053272090044,15.17792904259,1.49782194499243,0.698983574329802
130977,"Brian Alberto García Carpizo","Toluca",26,1899.44706666667,73.0556564102564,5,10,"Right Back",1401.01173333333,298,92,18,1,1.6272371944,17,8,2,1,0.7548768726,37,10,21,214,86,1115,918,82.3318385650224,965,94,20,12,8,60,14.1198986118978,4.35916332984764,0.852879781926712,0.805497571819673,0.0771020946390504,0.379057680856317,0.0357677345824781,1.75314177396046,0.995026412247831,10.1397929629065,4.0748700692054,45.7238327532932,4.45392775006172,0.947644202140791,0.568586521284475
228470,"Everardo López","Toluca",12,869.848,72.4873333333333,4,1,"Left Center Back",760.11305,148,42,0,0,0,0,1,1,0,0.2737590373,16,2,6,119,24,466,420,90.1287553648069,72,1,2,1,1,50,15.3130202058291,4.34558681516771,0,0,0,0.103466352742088,0.0283248491196163,1.65546164387341,0.62079811645253,12.3124959763085,2.48319246581012,7.44957739743036,0.103466352742088,0.206932705484177,0.103466352742088
276101,"Juan Pablo Domínguez Chonteco","Toluca",35,1886.8773,53.91078,17,14,"Right Wing",770.70075,137,83,22,3,2.2077001501,22,15,7,1,1.6772398837,27,12,9,389,98,737,607,82.3609226594301,1333,196,52,32,20,61.5384615384615,6.53460614529625,3.95892197123787,1.04935281165341,1.04935281165341,0.105302561808868,0.715467826127327,0.0800007448989926,1.28784208702919,0.429280695676396,18.5544656242353,4.6743897973652,63.5812408151818,9.3487795947304,2.48028846390807,1.52633136240496
386196,"Víctor Manuel Arteaga Camarena","Toluca",21,973.477966666667,46.3560936507937,13,6,"Right Defensive Midfield",619.906666666667,137,17,5,1,0.2211527024,4,5,1,0,0.1626896634,22,3,10,276,40,441,386,87.5283446712018,181,11,4,3,1,75,12.6659261146092,1.57168426239676,0.462260077175518,0.369808061740415,0.0204460130557997,0.462260077175518,0.0150409872717886,2.03394433957228,0.924520154351037,25.5167562600886,3.69808061740415,16.7338147937538,1.01697216978614,0.369808061740415,0.277356046305311
3058,"Javier Hernández Balcázar","Guadalajara",19,1186.28861666667,62.4362429824561,6,12,"Center Forward",1152.8071,21,13,6,1,0.6405846439,4,16,7,1,3.0165903421,4,0,3,136,13,141,104,73.7588652482269,431,152,10,4,6,40,1.59320419453293,0.98626926328229,0.45520119843798,0.30346746562532,0.0485991496007078,1.21386986250128,0.228859256486726,0.30346746562532,0.22760059921899,10.3178938312609,0.98626926328229,32.6986194211282,11.5317636937622,0.7586686640633,0.30346746562532
10570,"Antonio Briseño Vázquez","Guadalajara",8,726.382833333333,90.7978541666667,1,1,"Right Center Back",621.45585,150,16,3,1,0.092584148,2,4,0,0,0.1889314633,9,3,4,63,15,315,263,83.4920634920635,27,19,1,1,0,100,18.5852409782995,1.98242570435195,0.371704819565991,0.247803213043994,0.0114713246756703,0.495606426087988,0.0234089118254217,1.11511445869797,0.495606426087988,7.80580121088581,1.85852409782995,3.34534337609392,2.35413052391794,0.123901606521997,0.123901606521997
15872,"Érick Gabriel Gutiérrez Galaviz","Guadalajara",30,2612.98795,87.0995983333333,3,7,"Left Center Midfield",998.692016666667,399,86,24,1,1.4786559897,20,32,8,1,2.6867073774,87,22,26,548,142,1246,1052,84.430176565008,779,92,19,10,9,52.6315789473684,13.7428877159575,2.96212617436678,0.826639862613986,0.688866552178321,0.0509298326741231,1.10218648348531,0.0925391423890799,2.9965695019757,0.895526517831818,18.874943529686,4.89095252046608,26.8313522073456,3.16878614002028,0.654423224569405,0.344433276089161
24124,"Omar Nicolás Govea García","Guadalajara",14,533.776366666667,38.1268833333333,10,4,"Right Center Midfield",147.697766666667,116,30,5,0,0.0843204688,4,5,1,0,0.2318385857,12,2,3,112,29,351,293,83.4757834757835,284,10,4,1,3,25,19.558752788543,5.05829813496801,0.843049689161335,0.674439751329068,0.0142172690023556,0.843049689161335,0.0390902895219977,2.0233192539872,0.505829813496801,18.8843130372139,4.88968819713574,47.8852223443638,1.68609937832267,0.674439751329068,0.168609937832267
